ID;Name;Surname;PhoneNumber;e_mail
79;Viktor;Duma;+79224058431;Sidorenko@yandex.ru
80;Anna;Sidorenko;+79842707801;Kovalenko@mail.ru
81;Inna;Sidorenko;+79696111993;Duma@mail.ru
82;Inna;Mironenko;+79291509246;Shapiro@gmail.com
83;Miron;Galich;+79102179055;Shapiro@gmail.com
84;Miron;Mironenko;+79389535948;Sidorenko@yandex.ru
85;Anton;Duma;+79456472578;Mironenko@yandex.ru
86;Alex;Galich;+79561028295;Duma@yandex.ru
87;Svetlana;Kovalenko;+79050357698;Shapiro@mail.ru
88;Olga;Mironenko;+79293771193;Sidorenko@gmail.com
89;Viktor;Kovalenko;+79175334046;Shapiro@mail.ru
90;Miron;Sidorenko;+79938762341;Sidorenko@yandex.ru
91;Anna;Sidorenko;+79181884956;Duma@mail.ru
92;Anton;Duma;+79241356813;Duma@gmail.com
93;Olga;Kovalenko;+79911601622;Moroz@gmail.com
94;Viktor;Galich;+79454367694;Duma@yandex.ru
95;Vasilisa;Galich;+79263176367;Galich@yandex.ru
96;Olga;Kovalenko;+79873527593;Mironenko@yandex.ru
97;Olga;Shagal;+79967040066;Duma@yandex.ru
98;Igor;Duma;+79876430081;Duma@gmail.com
99;Viktor;Mironenko;+79894660900;Galich@gmail.com
100;Alex;Shagal;+79864264998;Duma@gmail.com
